,x,y
38,[42 45 45 46 44 48 44 40 43 47],[12 10 14 11 14 10 10 10 10 15]
39,[43 46 46 46 45 48 45 41 44 48],[12 10 14 12 14  9 10 10 10 15]
40,[44 47 47 47 46 49 46 42 45 49],[12 10 14 12 14  9 10 10 10 15]
41,[45 48 47 48 47 50 47 43 46 50],[12 10 15 12 14  9 10 10 10 15]
42,[46 48 48 49 47 51 48 44 47 51],[12  9 15 12 15  9 10 10 10 15]
43,[47 49 49 50 48 52 48 45 48 52],[12  9 15 12 15  9 11 10 10 15]
44,[48 50 50 51 49 53 49 46 48 53],[12  9 15 12 15  9 11 10 11 15]
45,[49 51 51 52 50 54 50 47 49 54],[12  9 15 12 15  9 11 10 11 15]
46,[50 52 52 53 51 55 51 48 50 55],[12  9 15 12 15  9 11 10 11 15]
47,[51 53 53 54 52 56 52 48 51 56],[12  9 15 12 15  9 11 11 11 15]
48,[52 54 54 55 53 57 53 49 52 57],[12  9 15 12 15  9 11 11 11 15]
49,[53 55 55 56 54 58 54 50 53 58],[12  9 15 12 15  9 11 11 11 15]
50,[54 56 56 57 55 59 55 51 54 59],[12  9 15 12 15  9 11 11 11 15]
51,[55 57 57 58 56 60 56 52 55 60],[12  9 15 12 15  9 11 11 11 15]
52,[56 58 58 59 57 61 57 53 56 61],[12  9 15 12 15  9 11 11 11 15]
53,[57 59 59 60 58 62 58 54 57 62],[12  9 15 12 15  9 11 11 11 15]
54,[58 60 60 61 59 63 59 55 58 63],[12  9 15 12 15  9 11 11 11 15]
55,[59 61 61 62 60 64 60 56 59 64],[12  9 15 12 15  9 11 11 11 15]
56,[60 62 62 63 61 65 61 57 60 65],[12  9 15 12 15  9 11 11 11 15]
57,[61 63 63 64 62 66 62 58 61 66],[12  9 15 12 15  9 11 11 11 15]
58,[62 64 64 65 63 67 63 59 62 67],[12  9 15 12 15  9 11 11 11 15]
59,[63 65 65 66 64 68 64 60 63 68],[12  9 15 12 15  9 11 11 11 15]
60,[64 66 66 67 65 69 65 61 64 69],[12  9 15 12 15  9 11 11 11 15]
61,[65 67 67 68 66 70 66 62 65 70],[12  9 15 12 15  9 11 11 11 15]
62,[66 68 68 69 67 71 67 63 66 71],[12  9 15 12 15  9 11 11 11 15]
63,[67 69 69 70 68 72 68 64 67 72],[12  9 15 12 15  9 11 11 11 15]
64,[68 70 70 71 69 73 69 65 68 73],[12  9 15 12 15  9 11 11 11 15]
65,[69 71 71 72 70 74 70 66 69 74],[12  9 15 12 15  9 11 11 11 15]
66,[70 72 72 73 71 75 71 67 70 75],[12  9 15 12 15  9 11 11 11 15]
67,[71 73 73 74 72 76 72 68 71 76],[12  9 15 12 15  9 11 11 11 15]
68,[72 74 74 75 73 77 73 69 72 77],[12  9 15 12 15  9 11 11 11 15]
69,[73 75 75 76 74 78 74 70 73 78],[12  9 15 12 15  9 11 11 11 15]
70,[74 76 76 77 75 79 75 71 74 79],[12  9 15 12 15  9 11 11 11 15]
71,[75 77 77 78 76 80 76 72 75 80],[12  9 15 12 15  9 11 11 11 15]
72,[76 78 78 79 77 81 77 73 76 81],[12  9 15 12 15  9 11 11 11 15]
73,[77 79 79 80 78 82 78 74 77 82],[12  9 15 12 15  9 11 11 11 15]
74,[78 80 80 81 79 83 79 75 78 83],[12  9 15 12 15  9 11 11 11 15]
75,[79 81 81 82 80 84 80 76 79 84],[12  9 15 12 15  9 11 11 11 15]
76,[80 82 82 83 81 85 81 77 80 85],[12  9 15 12 15  9 11 11 11 15]
77,[81 83 83 84 82 86 82 78 81 86],[12  9 15 12 15  9 11 11 11 15]
78,[82 84 84 85 83 87 83 79 82 87],[12  9 15 12 15  9 11 11 11 15]
79,[83 85 85 86 84 88 84 80 83 88],[12  9 15 12 15  9 11 11 11 15]
80,[84 86 86 87 85 89 85 81 84 89],[12  9 15 12 15  9 11 11 11 15]
81,[85 87 87 88 86 90 86 82 85 90],[12  9 15 12 15  9 11 11 11 15]
82,[86 88 88 89 87 91 87 83 86 91],[12  9 15 12 15  9 11 11 11 15]
83,[87 89 89 90 88 92 88 84 87 92],[12  9 15 12 15  9 11 11 11 15]
84,[88 90 90 91 89 93 89 85 88 93],[12  9 15 12 15  9 11 11 11 15]
85,[89 91 91 92 90 94 90 86 89 94],[12  9 15 12 15  9 11 11 11 15]
86,[90 92 92 93 91 95 91 87 90 95],[12  9 15 12 15  9 11 11 11 15]
87,[91 93 93 94 92 96 92 88 91 96],[12  9 15 12 15  9 11 11 11 15]
88,[92 94 94 95 93 97 93 89 92 97],[12  9 15 12 15  9 11 11 11 15]
89,[93 95 95 96 94 98 94 90 93 98],[12  9 15 12 15  9 11 11 11 15]
90,[94 96 96 97 95 99 95 91 94 99],[12  9 15 12 15  9 11 11 11 15]
91,[ 95  97  97  98  96 100  96  92  95 100],[12  9 15 12 15  9 11 11 11 15]
92,[ 96  98  98  99  97 101  97  93  96 101],[12  9 15 12 15  9 11 11 11 15]
93,[ 97  99  99 100  98 102  98  94  97 102],[12  9 15 12 15  9 11 11 11 15]
94,[ 98 100 100 101  99 103  99  95  98 103],[12  9 15 12 15  9 11 11 11 15]
95,[ 99 101 101 102 100 104 100  96  99 104],[12  9 15 12 15  9 11 11 11 15]
96,[100 102 102 103 101 105 101  97 100 105],[12  9 15 12 15  9 11 11 11 15]
97,[101 103 103 104 102 106 102  98 101 106],[12  9 15 12 15  9 11 11 11 15]
98,[102 104 104 105 103 107 103  99 102 107],[12  9 15 12 15  9 11 11 11 15]
99,[103 105 105 106 104 108 104 100 103 108],[12  9 15 12 15  9 11 11 11 15]
